response,degree,outer_fold,outer_repeat,test_size,selected_alpha,rmse,nrmse,max_absolute_error
P,4,26,5,16,0.1,0.0005948581334340484,0.004670682580355279,0.001987525633140863
P,4,27,5,16,0.01,0.0002807381613570037,0.0022042883272377803,0.0006765622881660938
P,4,28,5,16,0.01,0.00024567058513648513,0.0019289461772651157,0.0004582493964124801
P,4,29,5,16,0.01,0.0005828674764911354,0.004576534834258287,0.002004203721848813
P,4,30,6,16,1e-08,0.0005193349170405571,0.004077692501888796,0.0009593666751043783
P,4,31,6,16,1e-08,0.0018105864580579582,0.014216288144299295,0.003648135873231234
P,4,32,6,16,0.1,0.0009216992704247388,0.007236960351953037,0.0030033057469116553
P,4,33,6,16,1e-08,0.0004057547852531995,0.003185888703307157,0.0008171199745782565
P,4,34,6,16,1e-05,0.001050083342284061,0.008245001117180127,0.004200333136652551
P,4,35,7,16,1e-08,0.00034901382311618243,0.0027403723548695227,0.0007356949901013848
P,4,36,7,16,1e-05,0.001050087202804432,0.0082450314290549,0.004200348573387913
P,4,37,7,16,0.001,0.0005844466400124025,0.0045889340453235125,0.001960835547784784
P,4,38,7,16,1e-08,0.00073640148075508,0.0057820468024111175,0.002261300674240768
P,4,39,7,16,1e-08,0.0005123687280639609,0.004022995666331352,0.0015642617775502854
P,4,40,8,16,1e-08,0.0005069945377932197,0.003980798820612592,0.0013895031329304586
P,4,41,8,16,0.01,0.0003241521437269771,0.002545164445092471,0.0008724904600314332
P,4,42,8,16,0.001,0.0006732958628026642,0.005286556711704336,0.002103458934516328
P,4,43,8,16,1e-08,0.0008974836452010153,0.007046825103651188,0.0026692315261930555
P,4,44,8,16,1e-08,0.0010500782747550916,0.008244961328164978,0.004200312826687536
P,4,45,9,16,1e-08,0.0003948344470160715,0.0031001448415206617,0.0009490798065355383
P,4,46,9,16,0.1,0.0010231291682689437,0.008033363444322737,0.0025206220380320776
P,4,47,9,16,0.01,0.0006047185446767543,0.004748104151042354,0.001961202355086178
P,4,48,9,16,1e-08,0.0010501141664950833,0.008245243141450089,0.004200454911028745
P,4,49,9,16,0.01,0.0002330211873902947,0.0018296261572730425,0.00041427167661645115
U,2,0,0,16,10.0,0.009208918395328001,0.12420482574657071,0.020150248245194846
U,2,1,0,16,1.0,0.008322741233647315,0.1122525556512052,0.01669588686069079
U,2,2,0,16,1.0,0.01094995890469911,0.1476870224390583,0.023314281656884095
U,2,3,0,16,0.1,0.007954755512773255,0.10728936666675543,0.017335863607300217
U,2,4,0,16,10.0,0.010907227624310076,0.14711068643445863,0.017254346376805785
U,2,5,1,16,1.0,0.009119818946693546,0.12300310139451516,0.01841226498314752
